Time_Step,Vehicles_in_CBD,Current_Toll_Fee,CBD_Avg_Speed_mps,Global_Avg_Speed_mps,Total_Revenue,Detoured_Vehicles
3570,18,3.58,12.52,12.15,4053.16,975
3580,17,3.34,11.69,12.07,4056.74,975
3590,17,3.34,12.45,12.1,4063.32,977
3600,20,4.15,12.46,12.02,4064.99,978
3610,22,4.83,12.11,11.91,4079.34,983
3620,23,5.21,12.38,11.81,4087.16,987
3630,22,4.83,12.45,12.31,4095.17,992
3640,23,5.21,12.13,12.31,4107.26,992
3650,24,5.6,13.08,12.23,4124.46,995
3660,27,6.79,12.81,12.3,4143.25,999
3670,25,6.0,12.13,12.48,4146.25,1003
3680,22,4.83,11.96,12.3,4168.47,1008
3690,22,4.83,11.37,11.88,4180.94,1008
3700,25,6.0,12.07,12.12,4194.74,1011
3710,24,5.6,12.32,12.25,4209.15,1015
3720,22,4.83,12.81,11.97,4224.03,1019
3730,21,4.48,11.87,12.13,4228.34,1022
3740,21,4.48,12.94,12.44,4241.96,1026
3750,16,3.13,12.3,12.04,4245.68,1026
3760,15,2.95,11.51,12.33,4250.3,1026
3770,17,3.34,11.24,12.12,4256.21,1027
3780,15,2.95,12.24,12.39,4257.78,1027
3790,15,2.95,11.74,12.29,4262.3,1029
3800,16,3.13,10.71,11.77,4263.87,1029
3810,17,3.34,11.46,12.11,4269.81,1032
3820,18,3.58,12.69,12.43,4271.6,1033
3830,19,3.85,12.74,12.32,4277.83,1035
3840,19,3.85,12.66,12.18,4287.06,1038
3850,21,4.48,11.81,12.18,4295.37,1043
3860,19,3.85,11.69,12.21,4305.62,1046
3870,19,3.85,12.32,11.87,4307.54,1046
3880,21,4.48,11.79,12.01,4319.85,1048
3890,19,3.85,13.05,12.54,4330.23,1051
3900,19,3.85,11.04,12.18,4333.81,1053
3910,23,5.21,12.2,12.25,4339.02,1055
3920,22,4.83,12.66,12.38,4349.25,1062
3930,24,5.6,11.63,12.12,4363.46,1066
3940,28,7.17,11.24,12.27,4386.62,1069
3950,26,6.4,12.51,12.66,4408.24,1073
3960,26,6.4,12.47,12.31,4424.24,1075
3970,22,4.83,11.54,12.46,4433.43,1078
3980,18,3.58,12.33,12.26,4441.33,1078
3990,17,3.34,12.34,12.21,4450.05,1080
4000,15,2.95,12.3,12.63,4458.11,1080
4010,16,3.13,12.4,12.26,4461.06,1080
4020,16,3.13,12.76,12.34,4464.2,1080
4030,13,2.67,12.1,12.52,4470.15,1081
4040,15,2.95,11.97,12.34,4472.94,1082
4050,16,3.13,12.57,12.49,4477.37,1083
4060,15,2.95,11.47,12.41,4478.71,1084
4070,16,3.13,11.02,12.34,4483.24,1085
4080,18,3.58,12.91,12.63,4486.7,1088
4090,18,3.58,12.85,12.61,4495.79,1091
4100,20,4.15,12.24,12.36,4499.95,1094
4110,24,5.6,12.49,12.45,4509.7,1098
4120,29,7.52,12.88,12.82,4526.62,1102
4130,27,6.79,12.57,12.39,4547.55,1108
4140,29,7.52,10.54,12.19,4560.9,1113
4150,28,7.17,11.27,12.34,4588.8,1119
4160,27,6.79,12.4,12.2,4599.55,1122
4170,28,7.17,11.63,12.38,4616.9,1125
4180,23,5.21,11.89,12.6,4629.49,1133
4190,25,6.0,12.52,12.61,4649.9,1136
4200,25,6.0,12.28,12.63,4665.29,1139
4210,22,4.83,12.61,12.03,4677.3,1142
4220,22,4.83,13.15,12.96,4682.14,1143
4230,20,4.15,13.11,12.56,4692.84,1147
4240,22,4.83,11.55,12.21,4712.22,1149
4250,21,4.48,12.35,12.75,4716.7,1151
4260,19,3.85,12.53,12.62,4720.55,1158
4270,18,3.58,12.04,12.09,4727.98,1160
4280,13,2.67,12.61,12.37,4738.67,1162
4290,10,2.38,12.04,12.22,4739.86,1164
4300,8,2.26,10.3,12.42,4742.18,1166
4310,6,2.18,13.36,12.48,4742.18,1166
4320,8,2.26,12.11,12.16,4744.44,1166
4330,9,2.31,10.94,12.57,4745.59,1166
4340,9,2.31,13.03,12.73,4746.75,1166
4350,10,2.38,11.59,12.48,4747.98,1167
4360,9,2.31,11.56,12.18,4747.98,1167
4370,10,2.38,11.54,12.65,4751.52,1167
4380,18,3.58,12.32,12.4,4752.92,1169
4390,21,4.48,12.6,12.38,4761.11,1172
4400,26,6.4,12.15,12.56,4767.51,1178
4410,27,6.79,12.05,12.46,4777.5,1184
4420,25,6.0,12.96,12.48,4796.49,1192
4430,27,6.79,11.73,12.52,4817.69,1198
4440,24,5.6,11.97,12.23,4832.09,1204
4450,22,4.83,12.38,12.45,4841.95,1205
4460,22,4.83,11.01,12.2,4852.19,1205
4470,24,5.6,11.98,12.77,4867.07,1209
4480,23,5.21,12.95,12.69,4880.29,1214
4490,22,4.83,11.73,12.35,4893.31,1221
4500,23,5.21,12.06,12.06,4903.55,1223
4510,24,5.6,12.23,12.28,4920.76,1226
4520,24,5.6,12.01,12.08,4929.36,1229
4530,23,5.21,11.77,12.35,4946.37,1232
4540,19,3.85,12.73,12.37,4955.71,1235
4550,19,3.85,12.25,12.17,4961.78,1238
4560,19,3.85,12.06,12.59,4969.49,1239
4570,17,3.34,11.33,12.33,4975.57,1241
4580,14,2.8,12.17,12.37,4980.01,1243
4590,16,3.13,12.78,12.44,4983.05,1246
4600,18,3.58,12.39,12.41,4987.98,1247
4610,21,4.48,12.57,12.12,4999.74,1249
4620,24,5.6,12.72,12.28,5007.01,1253
4630,19,3.85,12.87,12.63,5018.01,1258
4640,23,5.21,11.73,12.05,5026.89,1259
4650,21,4.48,12.85,12.51,5033.79,1261
4660,21,4.48,13.29,12.63,5049.47,1263
4670,22,4.83,11.56,12.01,5054.12,1266
4680,22,4.83,12.57,12.4,5072.75,1271
4690,23,5.21,12.53,12.45,5085.03,1274
4700,23,5.21,11.75,12.24,5095.27,1278
4710,24,5.6,12.64,12.14,5103.67,1281
4720,24,5.6,12.66,11.82,5114.87,1284
4730,24,5.6,12.02,11.88,5128.88,1288
4740,28,7.17,12.31,12.3,5151.62,1290
4750,26,6.4,12.66,12.16,5172.52,1295
4760,23,5.21,12.69,12.35,5177.93,1296
4770,27,6.79,11.93,12.46,5187.12,1298
4780,25,6.0,12.33,12.18,5214.32,1304
4790,25,6.0,12.35,12.01,5233.11,1307
4800,24,5.6,11.32,12.22,5235.91,1309
4810,22,4.83,12.23,12.41,5243.35,1314
4820,21,4.48,12.56,12.31,5261.59,1322
4830,19,3.85,11.71,12.53,5274.7,1328
4840,18,3.58,12.8,12.44,5278.42,1329
4850,21,4.48,11.27,12.34,5284.21,1332
4860,20,4.15,11.64,12.42,5297.18,1334
4870,20,4.15,12.4,12.38,5305.81,1335
4880,21,4.48,11.77,12.3,5317.01,1335
4890,18,3.58,12.14,12.16,5324.61,1335
4900,19,3.85,11.47,11.87,5326.53,1339
4910,18,3.58,12.52,12.21,5328.32,1339
4920,19,3.85,11.55,11.83,5339.61,1343
4930,20,4.15,12.03,12.55,5351.47,1345
4940,18,3.58,11.5,12.16,5355.47,1347
4950,19,3.85,11.9,12.12,5360.74,1348
4960,18,3.58,12.05,12.46,5364.2,1350
4970,20,4.15,10.83,12.23,5377.43,1351
4980,20,4.15,12.03,12.39,5383.65,1351
4990,20,4.15,12.33,12.6,5392.45,1355
5000,21,4.48,11.03,12.31,5392.45,1356
5010,20,4.15,12.6,12.41,5400.45,1362
5020,19,3.85,12.12,12.3,5408.16,1365
5030,22,4.83,11.9,12.79,5414.61,1368
5040,24,5.6,12.31,12.4,5424.65,1374
5050,25,6.0,11.71,12.21,5447.66,1382
5060,25,6.0,11.53,12.04,5453.66,1387
5070,26,6.4,12.03,12.49,5462.06,1390
5080,27,6.79,12.43,12.45,5478.64,1395
5090,27,6.79,12.12,12.54,5501.62,1399
5100,25,6.0,12.49,12.59,5517.01,1402
5110,26,6.4,12.09,12.44,5529.21,1404
5120,23,5.21,12.14,12.24,5542.63,1408
5130,21,4.48,12.41,12.23,5558.88,1411
5140,20,4.15,12.35,12.22,5565.43,1414
5150,22,4.83,12.69,12.37,5572.51,1416
5160,20,4.15,11.77,12.36,5580.52,1416
5170,18,3.58,11.79,12.17,5586.47,1417
5180,14,2.8,11.19,12.48,5590.66,1420
5190,12,2.55,11.76,12.27,5591.94,1421
5200,19,3.85,10.9,11.79,5595.83,1421
5210,22,4.83,12.51,11.89,5602.72,1421
5220,24,5.6,12.62,12.13,5602.72,1421
5230,26,6.4,10.86,11.78,5611.52,1427
5240,29,7.52,11.35,12.26,5636.91,1435
5250,32,8.42,12.31,12.59,5673.7,1440
5260,34,8.87,12.23,12.15,5686.28,1442
5270,30,7.85,12.05,12.3,5703.17,1443
5280,26,6.4,12.79,12.33,5733.9,1452
5290,23,5.21,12.57,12.32,5758.92,1453
5300,23,5.21,10.69,12.03,5769.34,1456
5310,20,4.15,12.74,12.3,5771.76,1456
5320,19,3.85,12.76,12.18,5782.32,1459
5330,17,3.34,12.46,11.71,5795.17,1460
5340,15,2.95,12.67,12.01,5799.61,1461
5350,17,3.34,12.22,12.11,5801.18,1463
5360,20,4.15,11.74,11.94,5804.78,1464
5370,19,3.85,11.8,11.99,5814.71,1465
5380,18,3.58,11.23,11.63,5819.84,1467
5390,19,3.85,10.61,11.82,5827.14,1467
5400,18,3.58,11.33,11.39,5828.93,1469
5410,21,4.48,10.12,11.55,5830.73,1469
5420,22,4.83,11.14,11.8,5842.81,1475
5430,22,4.83,12.67,12.07,5852.48,1480
5440,23,5.21,11.94,11.82,5860.11,1483
5450,30,7.85,12.15,12.12,5877.39,1487
5460,30,7.85,12.38,11.93,5904.69,1497
5470,28,7.17,12.87,12.17,5931.76,1503
5480,29,7.52,12.57,12.14,5950.55,1507
5490,27,6.79,12.19,11.73,5976.33,1511
5500,28,7.17,11.84,11.67,5986.89,1514
5510,28,7.17,12.83,12.22,6008.74,1519
5520,28,7.17,12.36,11.99,6029.48,1520
5530,22,4.83,12.45,11.86,6049.49,1524
5540,19,3.85,12.8,12.18,6057.8,1526
5550,19,3.85,13.03,11.96,6061.8,1528
5560,17,3.34,13.16,12.16,6068.98,1528
5570,14,2.8,12.66,12.21,6076.3,1529
5580,13,2.67,11.41,11.92,6077.7,1529
5590,16,3.13,11.59,12.02,6081.7,1530
5600,15,2.95,12.77,12.22,6086.05,1532
5610,15,2.95,12.32,12.02,6090.32,1533
5620,16,3.13,12.23,12.05,6091.89,1534
5630,14,2.8,12.37,12.29,6099.56,1534
5640,16,3.13,12.36,12.16,6100.96,1534
5650,19,3.85,11.51,11.86,6106.48,1537
5660,18,3.58,12.41,12.07,6108.41,1539
5670,19,3.85,11.91,12.15,6121.22,1543
5680,19,3.85,11.27,12.0,6125.07,1545
5690,23,5.21,11.26,11.92,6135.68,1549
5700,24,5.6,11.74,11.88,6143.12,1555
5710,26,6.4,12.33,12.06,6161.51,1560
5720,30,7.85,12.51,12.18,6173.12,1564
