Time_Step,Vehicles_in_CBD,Current_Toll_Fee,CBD_Avg_Speed_mps,Global_Avg_Speed_mps,Total_Revenue,Detoured_Vehicles
2250,25,6.0,11.75,12.05,2601.51,257
2260,26,6.4,11.91,11.82,2627.49,257
2270,27,6.79,12.63,12.23,2641.07,257
2280,31,8.15,12.25,12.08,2648.53,259
2290,29,7.52,12.06,12.19,2672.2,261
2300,29,7.52,11.95,12.06,2693.65,262
2310,30,7.85,10.94,12.0,2715.14,265
2320,27,6.79,12.44,12.27,2725.85,267
2330,28,7.17,12.46,12.12,2749.61,270
2340,28,7.17,11.79,12.28,2775.21,274
2350,25,6.0,11.88,12.1,2791.96,276
2360,21,4.48,11.73,11.74,2799.04,278
2370,21,4.48,11.91,12.19,2811.14,279
2380,19,3.85,11.92,11.91,2815.45,280
2390,21,4.48,12.17,12.15,2827.2,280
2400,20,4.15,11.84,12.29,2835.67,280
2410,21,4.48,12.46,12.07,2844.3,280
2420,21,4.48,11.44,11.69,2848.61,280
2430,25,6.0,11.49,11.94,2866.17,281
2440,25,6.0,12.86,12.47,2878.57,283
2450,24,5.6,12.76,11.91,2884.57,283
2460,25,6.0,12.69,12.08,2896.57,285
2470,24,5.6,12.37,11.82,2905.37,285
2480,23,5.21,13.07,11.98,2928.81,286
2490,21,4.48,10.92,11.97,2931.05,286
2500,21,4.48,12.44,11.99,2941.6,287
2510,21,4.48,12.35,12.19,2948.86,287
2520,21,4.48,11.34,12.03,2962.3,287
2530,20,4.15,11.19,11.44,2964.38,288
2540,19,3.85,11.61,12.07,2976.38,290
2550,20,4.15,12.24,11.96,2980.38,290
2560,21,4.48,11.39,11.73,2997.48,291
2570,20,4.15,12.49,12.1,3001.8,292
2580,22,4.83,12.28,12.28,3011.47,292
2590,24,5.6,12.29,12.3,3019.29,294
2600,19,3.85,11.93,11.96,3033.91,296
2610,22,4.83,11.26,11.99,3045.12,297
2620,20,4.15,12.48,12.21,3051.68,298
2630,21,4.48,11.91,11.85,3061.92,299
2640,21,4.48,11.12,12.08,3070.55,299
2650,21,4.48,11.9,12.11,3085.41,302
2660,21,4.48,11.66,11.95,3087.83,304
2670,21,4.48,11.05,12.02,3094.38,305
2680,18,3.58,11.29,12.33,3101.71,307
2690,21,4.48,12.76,12.4,3110.36,307
2700,21,4.48,11.93,12.01,3121.23,308
2710,20,4.15,11.9,12.15,3126.07,308
2720,22,4.83,12.77,12.45,3141.34,309
2730,22,4.83,12.61,12.23,3151.38,309
2740,23,5.21,11.92,12.28,3158.64,309
2750,30,7.85,12.47,12.45,3177.59,311
2760,32,8.42,12.44,12.24,3205.34,314
2770,31,8.15,11.65,12.3,3221.91,316
2780,28,7.17,12.28,12.61,3248.54,318
2790,25,6.0,12.7,12.52,3266.05,319
2800,24,5.6,10.71,11.97,3286.46,323
2810,25,6.0,12.2,12.45,3298.06,323
2820,22,4.83,12.2,12.07,3315.36,323
2830,22,4.83,12.18,12.36,3322.46,323
2840,21,4.48,12.38,12.4,3327.67,324
2850,20,4.15,12.15,12.17,3335.84,325
2860,22,4.83,11.33,12.63,3349.3,325
2870,20,4.15,13.05,12.53,3360.01,326
2880,19,3.85,12.8,12.68,3364.16,328
2890,17,3.34,11.81,12.3,3369.3,329
2900,20,4.15,12.89,12.29,3383.13,332
2910,20,4.15,12.59,12.52,3396.57,333
2920,23,5.21,12.0,12.1,3399.37,333
2930,22,4.83,12.56,12.59,3406.62,333
2940,24,5.6,12.31,12.65,3428.05,334
2950,24,5.6,12.04,12.02,3442.26,335
2960,23,5.21,12.46,12.19,3455.67,338
2970,24,5.6,12.56,12.45,3464.08,341
2980,21,4.48,11.5,12.15,3479.33,341
2990,19,3.85,11.67,12.08,3491.52,343
3000,19,3.85,12.31,12.38,3498.82,343
3010,17,3.34,11.63,12.39,3500.49,343
3020,20,4.15,11.94,12.12,3504.49,344
3030,22,4.83,11.85,11.88,3518.82,345
3040,22,4.83,12.19,12.33,3532.79,346
3050,23,5.21,10.08,11.7,3535.39,348
3060,22,4.83,11.67,12.19,3540.08,349
3070,21,4.48,12.85,12.19,3551.28,351
3080,21,4.48,12.22,12.43,3563.36,352
3090,20,4.15,11.92,12.0,3571.52,352
3100,19,3.85,12.16,12.02,3573.59,352
3110,20,4.15,12.23,12.34,3583.67,352
3120,22,4.83,12.33,11.98,3592.81,353
3130,26,6.4,11.77,12.13,3612.81,354
3140,28,7.17,11.99,12.02,3623.17,358
3150,29,7.52,12.16,12.51,3641.79,358
3160,29,7.52,12.24,11.78,3660.41,359
3170,27,6.79,12.74,12.23,3685.67,362
3180,24,5.6,12.76,12.16,3704.26,364
3190,22,4.83,11.88,12.21,3716.72,366
3200,24,5.6,12.02,11.88,3724.73,367
3210,24,5.6,12.96,12.13,3739.14,369
3220,22,4.83,13.05,11.89,3755.56,369
3230,17,3.34,11.47,11.81,3764.07,369
3240,19,3.85,11.39,11.85,3765.74,371
3250,21,4.48,12.57,11.67,3775.37,372
3260,20,4.15,12.2,11.84,3786.92,372
3270,20,4.15,11.11,12.09,3799.08,372
3280,19,3.85,11.8,11.9,3805.31,373
3290,20,4.15,12.3,12.43,3813.77,374
3300,21,4.48,11.39,12.2,3817.92,375
3310,19,3.85,12.4,12.01,3826.09,377
3320,16,3.13,12.76,12.19,3835.81,377
3330,16,3.13,12.02,12.07,3840.42,378
3340,16,3.13,12.11,11.93,3843.66,378
3350,18,3.58,12.65,12.31,3848.92,378
3360,21,4.48,12.1,12.0,3854.84,378
3370,21,4.48,12.24,12.21,3861.56,380
3380,19,3.85,12.75,12.25,3877.88,380
3390,21,4.48,12.15,12.04,3884.6,381
3400,18,3.58,11.07,11.75,3892.05,382
3410,20,4.15,12.08,12.28,3896.06,383
3420,25,6.0,11.63,12.28,3909.48,385
3430,25,6.0,12.77,12.47,3919.47,387
3440,27,6.79,11.94,12.18,3932.27,389
3450,25,6.0,12.65,12.36,3941.66,392
3460,23,5.21,12.02,12.0,3966.68,394
3470,24,5.6,12.71,12.14,3975.09,398
3480,23,5.21,11.67,12.28,3987.37,399
3490,22,4.83,11.97,12.18,4000.79,400
3500,25,6.0,12.35,12.15,4009.99,402
3510,25,6.0,11.96,12.09,4021.99,403
3520,22,4.83,12.14,12.46,4047.86,405
3530,23,5.21,11.58,11.94,4058.87,405
3540,22,4.83,12.41,12.14,4069.11,405
3550,22,4.83,11.3,11.84,4073.76,405
3560,20,4.15,11.92,12.04,4083.08,406
3570,19,3.85,12.44,12.09,4094.37,407
3580,20,4.15,10.98,11.8,4100.44,408
3590,21,4.48,12.36,12.21,4111.64,409
3600,23,5.21,12.14,11.98,4116.67,410
3610,24,5.6,12.05,11.98,4134.27,413
3620,25,6.0,12.47,11.99,4146.07,413
3630,24,5.6,11.88,12.06,4161.27,416
3640,22,4.83,11.27,12.12,4173.0,417
3650,24,5.6,12.79,12.13,4186.03,418
3660,24,5.6,12.61,12.07,4196.84,418
3670,24,5.6,11.62,12.31,4202.24,422
3680,21,4.48,12.22,12.0,4218.46,422
3690,21,4.48,11.1,12.12,4229.83,423
3700,22,4.83,11.73,11.87,4241.57,423
3710,22,4.83,12.44,12.29,4248.82,424
3720,20,4.15,11.97,12.05,4262.3,425
3730,19,3.85,12.11,12.23,4264.09,427
3740,20,4.15,12.44,12.25,4272.24,427
3750,20,4.15,12.22,12.01,4278.47,427
3760,22,4.83,12.31,12.37,4294.37,428
3770,26,6.4,11.71,12.29,4305.19,429
3780,25,6.0,11.99,12.31,4308.19,429
3790,23,5.21,11.48,12.14,4316.79,430
3800,26,6.4,10.71,11.86,4336.01,432
3810,22,4.83,11.9,12.37,4353.14,435
3820,22,4.83,12.42,12.13,4357.97,437
3830,21,4.48,12.35,12.01,4357.97,437
3840,21,4.48,12.25,12.07,4373.66,438
3850,22,4.83,12.41,12.39,4386.12,443
3860,21,4.48,11.8,12.01,4395.98,444
3870,21,4.48,12.31,11.96,4402.53,445
3880,22,4.83,11.84,12.24,4419.28,449
3890,22,4.83,12.3,12.56,4428.94,450
3900,21,4.48,11.04,12.2,4433.26,451
3910,21,4.48,11.95,12.23,4437.74,452
3920,21,4.48,12.23,12.47,4448.78,454
3930,21,4.48,11.27,12.14,4462.94,455
3940,21,4.48,11.15,12.24,4473.81,455
3950,20,4.15,12.55,12.56,4481.1,455
3960,20,4.15,12.46,12.2,4489.73,455
3970,17,3.34,11.17,12.35,4493.47,456
3980,18,3.58,12.49,12.5,4500.28,457
3990,18,3.58,12.32,12.16,4505.66,458
4000,20,4.15,12.27,12.64,4517.21,460
4010,19,3.85,12.21,12.39,4524.51,460
4020,18,3.58,12.67,12.3,4530.74,461
4030,18,3.58,11.85,12.57,4536.25,462
4040,18,3.58,11.78,12.35,4541.5,463
4050,18,3.58,12.15,12.36,4548.67,463
4060,18,3.58,12.41,12.35,4553.8,464
4070,19,3.85,11.06,12.39,4558.94,465
4080,19,3.85,12.26,12.38,4564.71,465
4090,18,3.58,11.66,12.48,4576.13,469
4100,21,4.48,11.22,12.06,4584.63,469
4110,23,5.21,12.06,12.19,4595.44,470
4120,27,6.79,12.34,12.88,4605.04,471
4130,25,6.0,12.15,12.35,4617.63,472
4140,26,6.4,10.65,12.28,4628.25,474
4150,24,5.6,10.82,12.23,4651.26,475
4160,23,5.21,12.22,12.31,4656.86,476
4170,26,6.4,11.46,12.41,4668.26,477
4180,22,4.83,11.28,12.49,4679.09,481
4190,23,5.21,12.2,12.43,4696.4,483
4200,25,6.0,12.59,12.75,4708.2,485
4210,24,5.6,12.18,12.28,4720.79,485
4220,21,4.48,12.43,12.88,4726.2,486
4230,22,4.83,12.97,12.78,4739.64,490
4240,23,5.21,11.76,12.23,4756.77,490
4250,23,5.21,12.12,12.44,4764.4,491
4260,21,4.48,12.35,12.56,4773.71,495
4270,19,3.85,11.49,12.13,4786.02,496
4280,14,2.8,12.49,12.26,4794.08,496
4290,11,2.46,12.27,12.27,4795.31,496
4300,11,2.46,11.25,12.32,4799.09,496
4310,8,2.26,12.61,12.33,4800.32,496
4320,10,2.38,11.75,12.38,4801.51,496
4330,11,2.46,11.6,12.36,4803.93,496
4340,11,2.46,13.13,12.7,4806.38,497
4350,12,2.55,11.88,12.69,4807.61,497
4360,13,2.67,12.41,12.23,4807.61,497
4370,15,2.95,12.14,12.72,4814.84,498
4380,18,3.58,12.75,12.23,4818.56,500
4390,22,4.83,12.22,12.5,4822.73,502
4400,26,6.4,11.96,12.52,4835.12,503
4410,26,6.4,12.59,12.49,4851.31,505
4420,24,5.6,12.56,12.55,4866.11,508
4430,27,6.79,12.15,12.61,4884.91,513
4440,26,6.4,12.58,12.59,4906.71,515
4450,26,6.4,11.91,12.22,4919.5,515
4460,26,6.4,11.8,12.44,4929.69,515
4470,28,7.17,11.28,12.57,4953.04,519
4480,30,7.85,12.15,12.43,4982.92,522
4490,27,6.79,11.35,12.15,5002.38,525
4500,25,6.0,11.58,12.04,5022.15,527
4510,23,5.21,11.22,12.12,5035.97,528
4520,22,4.83,12.57,12.14,5043.22,529
4530,21,4.48,11.8,12.4,5056.84,532
4540,15,2.95,12.23,12.13,5062.54,532
4550,15,2.95,11.92,12.34,5068.31,534
4560,17,3.34,11.65,12.67,5073.22,534
4570,16,3.13,12.16,12.25,5076.58,536
4580,16,3.13,12.23,12.25,5078.15,536
4590,18,3.58,12.62,12.46,5084.64,536
4600,19,3.85,11.65,12.07,5090.28,537
4610,22,4.83,12.73,11.94,5099.61,539
4620,25,6.0,13.11,12.36,5110.62,540
4630,24,5.6,13.17,12.55,5127.62,543
4640,27,6.79,11.81,11.94,5137.21,543
4650,25,6.0,13.39,12.61,5153.2,546
4660,25,6.0,13.38,12.55,5177.2,552
4670,26,6.4,11.35,11.73,5183.4,554
4680,25,6.0,12.98,12.29,5210.73,557
4690,25,6.0,12.85,12.61,5222.33,557
4700,27,6.79,11.8,11.96,5238.52,558
4710,26,6.4,11.99,12.16,5254.71,561
4720,26,6.4,12.8,12.15,5269.91,562
4730,26,6.4,11.55,11.73,5273.31,563
4740,28,7.17,12.45,12.05,5300.43,565
4750,26,6.4,12.64,12.28,5327.57,567
4760,23,5.21,12.28,12.16,5339.77,568
4770,27,6.79,11.31,12.14,5352.36,571
4780,26,6.4,12.47,12.21,5369.33,574
4790,25,6.0,12.06,11.65,5389.11,574
4800,23,5.21,11.56,12.27,5400.91,576
4810,22,4.83,12.45,12.33,5413.0,578
4820,23,5.21,12.23,12.25,5423.42,584
4830,22,4.83,11.97,12.42,5441.67,585
4840,21,4.48,12.94,12.15,5446.5,585
4850,24,5.6,11.64,12.43,5457.14,585
4860,24,5.6,11.81,12.27,5473.37,587
4870,25,6.0,12.31,12.27,5496.98,588
4880,25,6.0,12.25,12.08,5510.16,589
4890,23,5.21,12.49,12.32,5525.64,589
4900,23,5.21,11.66,12.16,5528.24,591
4910,21,4.48,12.02,12.0,5537.38,592
4920,22,4.83,12.05,12.06,5551.35,593
4930,22,4.83,11.78,12.39,5569.21,595
4940,20,4.15,11.85,12.16,5571.45,596
4950,20,4.15,11.57,12.18,5583.31,597
4960,17,3.34,12.03,12.44,5588.32,597
4970,19,3.85,11.29,12.39,5597.04,597
4980,18,3.58,12.62,12.36,5600.76,598
4990,21,4.48,12.28,12.7,5613.56,598
5000,21,4.48,11.33,12.42,5613.56,599
5010,18,3.58,12.38,12.39,5621.14,602
5020,19,3.85,12.27,12.49,5630.95,603
5030,22,4.83,11.45,12.64,5635.79,604
5040,25,6.0,12.63,12.59,5647.59,605
5050,26,6.4,12.27,12.17,5660.18,606
5060,25,6.0,11.14,11.99,5678.78,610
